"Date","COUNTY","Site.Name","Mean.Latitude","Mean.Longitdue","month","year","pm2.5","Ozone"
2018-01-06,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,40,31
2018-01-06,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,21,NA
2018-01-06,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,17,NA
2018-01-06,"Swain","Bryson City",35.434767,-83.442133,1,2018,35,NA
2018-01-06,"Wake","Millbrook School",35.856111,-78.574167,1,2018,33,33
2018-01-07,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,39,NA
2018-01-07,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,15,NA
2018-01-07,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,49,NA
2018-01-07,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,28,NA
2018-01-07,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,38,NA
2018-01-07,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,27,NA
2018-01-07,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,47,31
2018-01-07,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,9,NA
2018-01-07,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,18,NA
2018-01-07,"Swain","Bryson City",35.434767,-83.442133,1,2018,54,NA
2018-01-07,"Wake","Millbrook School",35.856111,-78.574167,1,2018,48,34
2018-01-08,"Avery","Linville Falls",35.972347,-81.933072,1,2018,22,NA
2018-01-08,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,34.5,NA
2018-01-08,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,40,NA
2018-01-08,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,52,NA
2018-01-08,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,40,NA
2018-01-08,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,44,NA
2018-01-08,"Haywood","Frying Pan Mountain",35.379167,-82.7925,1,2018,3,NA
2018-01-08,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,38,NA
2018-01-08,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,53,16
2018-01-08,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,11,NA
2018-01-08,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,31,NA
2018-01-08,"Swain","Bryson City",35.434767,-83.442133,1,2018,71,NA
2018-01-08,"Wake","Millbrook School",35.856111,-78.574167,1,2018,42.5,27
2018-01-09,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,49,NA
2018-01-09,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,19,NA
2018-01-09,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,60,NA
2018-01-09,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,54,NA
2018-01-09,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,43,NA
2018-01-09,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,43,NA
2018-01-09,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,53,28
2018-01-09,"New Hanover","Castle Hayne",34.364167,-77.838611,1,2018,20,NA
2018-01-09,"Pitt","Pitt Agri. Center",35.6412760008938,-77.360126,1,2018,31,NA
2018-01-09,"Swain","Bryson City",35.434767,-83.442133,1,2018,78,NA
2018-01-09,"Wake","Millbrook School",35.856111,-78.574167,1,2018,35,30
2018-01-10,"Durham","Durham Armory",36.0329550008979,-78.904037,1,2018,39,NA
2018-01-10,"Edgecombe","Leggett",35.988278,-77.5843,1,2018,35,NA
2018-01-10,"Forsyth","Clemmons Middle",36.026,-80.342,1,2018,39,NA
2018-01-10,"Forsyth","Hattie Avenue",36.110693332,-80.2264378,1,2018,32,NA
2018-01-10,"Guilford","Mendenhall School",36.1090060008986,-79.802314,1,2018,29,NA
2018-01-10,"Johnston","West Johnston Co.",35.59095,-78.4622,1,2018,35,NA
2018-01-10,"Mecklenburg","Garinger High School",35.2401000008895,-80.785683,1,2018,38,31
